name,trainer,Analytic,Independent,Determined,Professional,Studious,Imaginative,week,cohort,date
Marcy Treat,Gina Cartwright,6.0,5.0,2.0,2.0,4.0,5.0,1,Data_32,2019-07-22
Heindrick Mckiddin,Gina Cartwright,5.0,3.0,2.0,3.0,3.0,3.0,1,Data_32,2019-07-22
Danella Winkett,Gina Cartwright,6.0,3.0,6.0,1.0,1.0,3.0,1,Data_32,2019-07-22
Darrin Perrelle,Gina Cartwright,3.0,1.0,2.0,4.0,6.0,2.0,1,Data_32,2019-07-22
Janelle Forbear,Gina Cartwright,1.0,4.0,1.0,3.0,4.0,6.0,1,Data_32,2019-07-22
Sorcha Argue,Gina Cartwright,1.0,4.0,2.0,4.0,5.0,6.0,1,Data_32,2019-07-22
Toddie Rubanenko,Gina Cartwright,6.0,1.0,3.0,4.0,3.0,1.0,1,Data_32,2019-07-22
Selby Floyd,Gina Cartwright,4.0,4.0,1.0,4.0,5.0,3.0,1,Data_32,2019-07-22
Claudio Handrick,Gina Cartwright,4.0,3.0,3.0,1.0,4.0,2.0,1,Data_32,2019-07-22
Kingston Comsty,Gina Cartwright,2.0,3.0,5.0,4.0,5.0,3.0,1,Data_32,2019-07-22
Benedikt Cohani,Gina Cartwright,2.0,1.0,2.0,4.0,1.0,8.0,1,Data_32,2019-07-22
Morgen Lilywhite,Gina Cartwright,3.0,2.0,4.0,4.0,4.0,4.0,1,Data_32,2019-07-22
Job Restall,Gina Cartwright,3.0,3.0,2.0,2.0,2.0,4.0,1,Data_32,2019-07-22
Wilhelm Jouanet,Gina Cartwright,1.0,2.0,4.0,3.0,3.0,2.0,1,Data_32,2019-07-22
Marcy Treat,Gina Cartwright,5.0,3.0,4.0,3.0,2.0,4.0,2,Data_32,2019-07-22
Heindrick Mckiddin,Gina Cartwright,1.0,3.0,3.0,1.0,2.0,3.0,2,Data_32,2019-07-22
Danella Winkett,Gina Cartwright,3.0,7.0,1.0,2.0,5.0,1.0,2,Data_32,2019-07-22
Darrin Perrelle,Gina Cartwright,3.0,5.0,7.0,6.0,2.0,3.0,2,Data_32,2019-07-22
Janelle Forbear,Gina Cartwright,2.0,1.0,2.0,3.0,4.0,2.0,2,Data_32,2019-07-22
Sorcha Argue,Gina Cartwright,2.0,1.0,1.0,2.0,6.0,6.0,2,Data_32,2019-07-22
Toddie Rubanenko,Gina Cartwright,1.0,1.0,4.0,4.0,6.0,1.0,2,Data_32,2019-07-22
Selby Floyd,Gina Cartwright,2.0,5.0,4.0,3.0,3.0,2.0,2,Data_32,2019-07-22
Claudio Handrick,Gina Cartwright,1.0,3.0,4.0,2.0,1.0,3.0,2,Data_32,2019-07-22
Kingston Comsty,Gina Cartwright,2.0,8.0,4.0,2.0,2.0,4.0,2,Data_32,2019-07-22
Benedikt Cohani,Gina Cartwright,6.0,1.0,4.0,3.0,1.0,1.0,2,Data_32,2019-07-22
Morgen Lilywhite,Gina Cartwright,2.0,5.0,1.0,4.0,3.0,3.0,2,Data_32,2019-07-22
Job Restall,Gina Cartwright,2.0,3.0,1.0,5.0,3.0,4.0,2,Data_32,2019-07-22
Wilhelm Jouanet,Gina Cartwright,5.0,2.0,5.0,4.0,2.0,1.0,2,Data_32,2019-07-22
Marcy Treat,Gina Cartwright,3.0,1.0,2.0,2.0,2.0,6.0,3,Data_32,2019-07-22
Heindrick Mckiddin,Gina Cartwright,5.0,2.0,7.0,1.0,4.0,5.0,3,Data_32,2019-07-22
Danella Winkett,Gina Cartwright,3.0,1.0,2.0,3.0,4.0,1.0,3,Data_32,2019-07-22
Darrin Perrelle,Gina Cartwright,7.0,2.0,2.0,5.0,3.0,2.0,3,Data_32,2019-07-22
Janelle Forbear,Gina Cartwright,3.0,5.0,2.0,3.0,1.0,2.0,3,Data_32,2019-07-22
Sorcha Argue,Gina Cartwright,3.0,5.0,3.0,2.0,2.0,2.0,3,Data_32,2019-07-22
Toddie Rubanenko,Gina Cartwright,3.0,2.0,3.0,1.0,3.0,4.0,3,Data_32,2019-07-22
Selby Floyd,Gina Cartwright,2.0,4.0,5.0,4.0,1.0,3.0,3,Data_32,2019-07-22
Claudio Handrick,Gina Cartwright,1.0,1.0,3.0,4.0,3.0,1.0,3,Data_32,2019-07-22
Kingston Comsty,Gina Cartwright,3.0,4.0,3.0,3.0,7.0,1.0,3,Data_32,2019-07-22
Benedikt Cohani,Gina Cartwright,4.0,6.0,3.0,6.0,3.0,1.0,3,Data_32,2019-07-22
Morgen Lilywhite,Gina Cartwright,3.0,4.0,2.0,1.0,3.0,4.0,3,Data_32,2019-07-22
Job Restall,Gina Cartwright,1.0,4.0,3.0,2.0,3.0,6.0,3,Data_32,2019-07-22
Wilhelm Jouanet,Gina Cartwright,1.0,5.0,4.0,3.0,3.0,6.0,3,Data_32,2019-07-22
Marcy Treat,Gina Cartwright,3.0,4.0,7.0,6.0,6.0,8.0,4,Data_32,2019-07-22
Heindrick Mckiddin,Gina Cartwright,5.0,5.0,8.0,5.0,5.0,2.0,4,Data_32,2019-07-22
Danella Winkett,Gina Cartwright,3.0,8.0,4.0,7.0,5.0,5.0,4,Data_32,2019-07-22
Darrin Perrelle,Gina Cartwright,6.0,2.0,6.0,7.0,3.0,8.0,4,Data_32,2019-07-22
Janelle Forbear,Gina Cartwright,8.0,8.0,8.0,1.0,8.0,4.0,4,Data_32,2019-07-22
Sorcha Argue,Gina Cartwright,8.0,3.0,8.0,7.0,8.0,7.0,4,Data_32,2019-07-22
Toddie Rubanenko,Gina Cartwright,5.0,6.0,4.0,1.0,8.0,3.0,4,Data_32,2019-07-22
Selby Floyd,Gina Cartwright,8.0,6.0,7.0,8.0,4.0,6.0,4,Data_32,2019-07-22
Claudio Handrick,Gina Cartwright,7.0,8.0,6.0,6.0,5.0,6.0,4,Data_32,2019-07-22
Kingston Comsty,Gina Cartwright,7.0,5.0,7.0,6.0,5.0,8.0,4,Data_32,2019-07-22
Benedikt Cohani,Gina Cartwright,5.0,6.0,7.0,8.0,8.0,4.0,4,Data_32,2019-07-22
Morgen Lilywhite,Gina Cartwright,6.0,8.0,8.0,5.0,4.0,8.0,4,Data_32,2019-07-22
Job Restall,Gina Cartwright,6.0,7.0,6.0,8.0,2.0,6.0,4,Data_32,2019-07-22
Wilhelm Jouanet,Gina Cartwright,7.0,8.0,6.0,8.0,4.0,6.0,4,Data_32,2019-07-22
Marcy Treat,Gina Cartwright,6.0,6.0,2.0,8.0,8.0,8.0,5,Data_32,2019-07-22
Heindrick Mckiddin,Gina Cartwright,4.0,4.0,8.0,8.0,1.0,8.0,5,Data_32,2019-07-22
Danella Winkett,Gina Cartwright,3.0,4.0,4.0,1.0,7.0,5.0,5,Data_32,2019-07-22
Darrin Perrelle,Gina Cartwright,8.0,5.0,4.0,2.0,6.0,6.0,5,Data_32,2019-07-22
Janelle Forbear,Gina Cartwright,6.0,7.0,7.0,7.0,7.0,7.0,5,Data_32,2019-07-22
Sorcha Argue,Gina Cartwright,4.0,6.0,7.0,6.0,5.0,7.0,5,Data_32,2019-07-22
Toddie Rubanenko,Gina Cartwright,8.0,8.0,7.0,8.0,7.0,8.0,5,Data_32,2019-07-22
Selby Floyd,Gina Cartwright,8.0,7.0,8.0,7.0,1.0,7.0,5,Data_32,2019-07-22
Claudio Handrick,Gina Cartwright,8.0,6.0,7.0,8.0,7.0,7.0,5,Data_32,2019-07-22
Kingston Comsty,Gina Cartwright,4.0,8.0,8.0,8.0,3.0,5.0,5,Data_32,2019-07-22
Benedikt Cohani,Gina Cartwright,8.0,8.0,7.0,6.0,6.0,7.0,5,Data_32,2019-07-22
Morgen Lilywhite,Gina Cartwright,6.0,7.0,8.0,5.0,6.0,2.0,5,Data_32,2019-07-22
Job Restall,Gina Cartwright,8.0,8.0,6.0,6.0,6.0,7.0,5,Data_32,2019-07-22
Wilhelm Jouanet,Gina Cartwright,8.0,8.0,8.0,6.0,8.0,6.0,5,Data_32,2019-07-22
Marcy Treat,Gina Cartwright,3.0,7.0,2.0,6.0,4.0,6.0,6,Data_32,2019-07-22
Heindrick Mckiddin,Gina Cartwright,5.0,7.0,6.0,8.0,4.0,6.0,6,Data_32,2019-07-22
Danella Winkett,Gina Cartwright,2.0,5.0,7.0,7.0,8.0,8.0,6,Data_32,2019-07-22
Darrin Perrelle,Gina Cartwright,5.0,8.0,8.0,8.0,7.0,5.0,6,Data_32,2019-07-22
Janelle Forbear,Gina Cartwright,8.0,8.0,4.0,7.0,6.0,4.0,6,Data_32,2019-07-22
Sorcha Argue,Gina Cartwright,4.0,6.0,8.0,5.0,5.0,6.0,6,Data_32,2019-07-22
